id;title;type;release_year;age_certification;genres;imdb_score;tmdb_popularity;tmdb_score
tm1027081;Blood Red Sky;MOVIE;2021;;['thriller', 'action', 'fantasy', 'horror'];6.100000;57.544998;57.544998
tm1028026;Irul;MOVIE;2021;;['thriller'];5.800000;1.886000;1.886000
tm1028068;Wave of Cinema: Generasi 90an;MOVIE;2020;;['music'];0.000000;0.619000;0.619000
tm1027712;This Little Love of Mine;MOVIE;2021;G;['romance', 'comedy'];5.300000;12.970000;12.970000
tm1026231;Reframe THEATER EXPERIENCE with you;MOVIE;2020;;['music'];0.000000;1.554000;1.554000
tm1022953;Who We Are: A Chronicle of Racism in America;MOVIE;2022;PG-13;['documentation'];6.200000;3.747000;3.747000
tm1028298;He's All That;MOVIE;2021;R;['comedy', 'romance'];4.300000;79.837997;79.837997
tm1029256;Ferry;MOVIE;2021;;['drama', 'action', 'crime', 'thriller'];7.000000;29.798000;29.798000
tm1029314;Have You Ever Seen Fireflies?;MOVIE;2021;;['drama', 'comedy'];6.100000;4.109000;4.109000
tm1029279;Dolly Parton: A MusiCares Tribute;MOVIE;2021;;['music', 'documentation'];6.600000;5.064000;5.064000
tm102848;Peepli Live;MOVIE;2010;PG;['drama', 'comedy'];7.400000;3.404000;3.404000
tm1030241;Kurup;MOVIE;2021;;['thriller', 'crime'];7.100000;3.893000;3.893000
tm1030283;Why Did You Kill Me?;MOVIE;2021;R;['crime', 'documentation'];5.600000;14.666000;14.666000
tm1030742;One Like It;MOVIE;2020;;[];0.000000;0.961000;0.961000
tm1030495;Two;MOVIE;2021;;['horror', 'thriller'];0.000000;236.796997;236.796997
tm1030071;Mandela;MOVIE;2021;;['comedy', 'drama'];0.000000;3.110000;3.110000
tm1031186;Heroes: Silence and Rock & Roll;MOVIE;2021;;['documentation', 'music'];7.500000;14.086000;14.086000
tm1031016;Marked;MOVIE;2019;;['documentation'];0.000000;0.611000;0.611000
tm1031448;Barbie & Chelsea: The Lost Birthday;MOVIE;2021;;['animation'];0.000000;69.565002;69.565002
tm1031976;Dhamaka;MOVIE;2021;;['thriller', 'crime', 'drama', 'action'];7.200000;72.416000;72.416000
tm1033369;Plastic Island;MOVIE;2021;;['documentation'];8.000000;1.400000;1.400000
tm1032950;The Last Kids on Earth: Happy Apocalypse to You;MOVIE;2021;G;['fantasy'];0.000000;3.020000;3.020000
tm1031499;Get the Grift;MOVIE;2021;;['crime', 'comedy'];5.300000;20.388000;20.388000
tm103133;Karthik Calling Karthik;MOVIE;2010;PG;['thriller', 'romance', 'drama'];7.100000;7.725000;7.725000
tm1033635;Sisters on Track;MOVIE;2021;PG;['documentation', 'sport'];5.800000;7.433000;7.433000
tm1035612;Dad Stop Embarrassing Me - The Afterparty;MOVIE;2021;PG-13;[];0.000000;1.296000;1.296000
tm1036195;Condom Lead;MOVIE;2013;;['drama'];0.000000;1.400000;1.400000
tm1033803;Searching for Sheela;MOVIE;2021;;['documentation', 'crime'];4.300000;5.135000;5.135000
