id;title;type;release_year;age_certification;genres;imdb_score;tmdb_popularity;tmdb_score
tm411750;Doom: Annihilation;MOVIE;2019;R;['action', 'scifi', 'thriller', 'horror'];3,7;29,955;4,9
ts252758;Get Organized with The Home Edit;SHOW;2020;TV-PG;['reality'];5,4;6,857;6,7
ts84993;Daybreak;SHOW;2019;TV-MA;['scifi', 'drama', 'fantasy', 'horror', 'action', 'comedy', 'thriller'];6,6;18,304;7,3
ts224859;The Pharmacist;SHOW;2020;TV-MA;['documentation', 'crime'];7,7;3,063;8,4
tm469991;I Lost My Body;MOVIE;2019;;['fantasy', 'drama', 'romance', 'animation', 'european'];7,5;11,079;7,5
tm877681;American Pie Presents: Girls' Rules;MOVIE;2020;R;['comedy'];;50,358;6,3
tm434553;Cut Throat City;MOVIE;2020;R;['thriller', 'drama', 'action', 'crime'];4,8;10,445;6,6
ts255427;Blood of Zeus;SHOW;2020;TV-MA;['scifi', 'animation', 'action'];;27,566;8,1
ts269690;Schulz Saves America;SHOW;2020;TV-MA;['comedy'];7,3;1,4;7,3
tm428558;High Flying Bird;MOVIE;2019;;['drama', 'sport'];6,2;7,304;5,7
tm927037;The Water Man;MOVIE;2020;PG;['action', 'thriller', 'drama', 'family', 'fantasy'];5,4;13,201;6,2
ts88699;Northern Rescue;SHOW;2019;TV-14;['drama', 'family'];6,9;9,477;7
ts223240;Itaewon Class;SHOW;2020;TV-MA;['drama', 'romance'];8,2;36,591;8,5
tm884511;The Lost Husband;MOVIE;2020;PG-13;['romance', 'drama'];6,1;7,282;7
tm285317;IO;MOVIE;2019;PG-13;['scifi', 'romance', 'drama'];4,7;25,116;4,9
tm817709;Rocks;MOVIE;2019;;['drama'];7,4;7,28;6,7
tm845512;Horse Girl;MOVIE;2020;R;['drama'];;14,15;5,6
tm824477;Over the Moon;MOVIE;2020;PG;['comedy', 'family', 'fantasy', 'scifi', 'romance', 'animation'];6,3;75,251;7,3
tm927480;Kiss the Ground;MOVIE;2020;;['documentation'];8,2;6,272;8,1
ts88151;Quicksand;SHOW;2019;TV-MA;['drama', 'crime', 'thriller'];7,5;16,469;7,3
tm444247;This Changes Everything;MOVIE;2019;PG;['documentation'];7,6;4,764;6,5
tm355783;Eli;MOVIE;2019;R;['horror', 'thriller', 'drama'];5,8;31,78;6
tm449195;The Boy Who Harnessed the Wind;MOVIE;2019;;['drama', 'history'];7,6;35,031;7,9
tm925486;Jiu Jitsu;MOVIE;2020;R;['action', 'scifi', 'fantasy', 'thriller', 'comedy'];2,9;96,709;5
tm934040;American Murder: The Family Next Door;MOVIE;2020;R;['documentation', 'thriller', 'crime'];7,2;11,309;7,3
ts225101;Start-Up;SHOW;2020;TV-14;['drama', 'comedy', 'romance'];8,1;32,075;8,4
ts79695;Sintonia;SHOW;2019;TV-MA;['drama', 'crime', 'music'];6,6;42,611;8,2
tm469193;Atlantics;MOVIE;2019;PG-13;['fantasy', 'drama', 'romance'];6,7;11,349;6,7
ts223404;It's Okay to Not Be Okay;SHOW;2020;TV-MA;['drama', 'comedy', 'romance'];8,6;50,095;8,6
ts89075;Her Private Life;SHOW;2019;TV-14;['comedy', 'drama', 'romance'];7,7;14,707;7,933
ts268799;Equinox;SHOW;2020;;['scifi', 'drama'];;15,497;7,4
ts237499;The Woods;SHOW;2020;TV-MA;['drama', 'thriller'];;6,208;7,1
tm420455;Rim of the World;MOVIE;2019;PG;['scifi', 'action', 'comedy'];5,2;22,933;6
ts236747;Middleditch & Schwartz;SHOW;2020;TV-MA;['comedy'];8,6;2,329;8
tm925584;The Vanished;MOVIE;2020;R;['thriller', 'action', 'crime'];5,7;13,281;6
tm914535;2 Hearts;MOVIE;2020;PG-13;['drama', 'romance'];6,2;16,578;7,7
ts90019;Bonding;SHOW;2019;TV-MA;['drama', 'comedy'];7,1;19,49;7,4
